London_Borough,Qualification_Code,Qualification_Type,Total
Lambeth,4,Level 3 qualifications,31935
Lewisham,4,Level 3 qualifications,31537
Merton,4,Level 3 qualifications,21786
Newham,4,Level 3 qualifications,35783
Redbridge,4,Level 3 qualifications,33074
Richmond upon Thames,4,Level 3 qualifications,18830
Southwark,4,Level 3 qualifications,31574
Sutton,4,Level 3 qualifications,25866
Tower Hamlets,4,Level 3 qualifications,33343
Waltham Forest,4,Level 3 qualifications,28770
Wandsworth,4,Level 3 qualifications,31214
Westminster,4,Level 3 qualifications,22019
City of London,5,Level 4 qualifications,5939
Barking and Dagenham,5,Level 4 qualifications,53791
Barnet,5,Level 4 qualifications,151642
Bexley,5,Level 4 qualifications,61837
Brent,5,Level 4 qualifications,109998
Bromley,5,Level 4 qualifications,113508
Camden,5,Level 4 qualifications,101932
Croydon,5,Level 4 qualifications,127342
Ealing,5,Level 4 qualifications,130981
Enfield,5,Level 4 qualifications,93371
Greenwich,5,Level 4 qualifications,104926
Hackney,5,Level 4 qualifications,109724
Hammersmith and Fulham,5,Level 4 qualifications,89043
Haringey,5,Level 4 qualifications,104270
Harrow,5,Level 4 qualifications,94317
Havering,5,Level 4 qualifications,61921
Hillingdon,5,Level 4 qualifications,90664
Hounslow,5,Level 4 qualifications,95076
Islington,5,Level 4 qualifications,103975
Kensington and Chelsea,5,Level 4 qualifications,73226
Kingston upon Thames,5,Level 4 qualifications,69582
Lambeth,5,Level 4 qualifications,151312
Lewisham,5,Level 4 qualifications,120814
Merton,5,Level 4 qualifications,86412
Newham,5,Level 4 qualifications,111130
Redbridge,5,Level 4 qualifications,102696
Richmond upon Thames,5,Level 4 qualifications,94089
Southwark,5,Level 4 qualifications,140514
Sutton,5,Level 4 qualifications,65889
Tower Hamlets,5,Level 4 qualifications,127299
Waltham Forest,5,Level 4 qualifications,95910
Wandsworth,5,Level 4 qualifications,171346
Westminster,5,Level 4 qualifications,102356
City of London,6, Vocational or work-related qualifications,135
Barking and Dagenham,6, Vocational or work-related qualifications,5961
Barnet,6, Vocational or work-related qualifications,9790
Bexley,6, Vocational or work-related qualifications,5722
Brent,6, Vocational or work-related qualifications,11064
Bromley,6, Vocational or work-related qualifications,6732
Camden,6, Vocational or work-related qualifications,4701
Croydon,6, Vocational or work-related qualifications,9246
Ealing,6, Vocational or work-related qualifications,12251
Enfield,6, Vocational or work-related qualifications,8311
Greenwich,6, Vocational or work-related qualifications,6316
