MajorText,LookUp_BoroughName,Total_2021,Total_2011
Violence Against the Person,Hillingdon,7714,4698
Violence Against the Person,Hounslow,8076,4559
Violence Against the Person,Islington,6638,4017
Violence Against the Person,Kensington and Chelsea,4268,2384
Violence Against the Person,Kingston upon Thames,3592,2009
Violence Against the Person,Lambeth,9625,6128
Violence Against the Person,Lewisham,8331,5400
Violence Against the Person,Merton,4183,2137
Violence Against the Person,Newham,9976,5501
Violence Against the Person,Redbridge,7545,3045
Violence Against the Person,Richmond upon Thames,2991,1593
Violence Against the Person,Southwark,8418,5771
Violence Against the Person,Sutton,4418,2099
Violence Against the Person,Tower Hamlets,9642,4874
Violence Against the Person,Waltham Forest,6752,4472
Violence Against the Person,Wandsworth,7524,3547
Violence Against the Person,Westminster,10326,7116
